#Table: J/A+A/291/943/table1.dat (http://cdsarc.cds.unistra.fr)
#-----------------------------------------------------------------
# n(H)|  Lambda0|   Kappa0|  Lambda1|   Kappa1|  Lambda2|   Kappa2
#-----|---------|---------|---------|---------|---------|---------
 0   |1.300E+03|3.095E-01|1.300E+03|6.485E-01|1.300E+03|5.110E-01
1.E+5|1.000E+00|9.662E+03|1.000E+00|1.158E+04|1.000E+00|1.119E+04
1.E+5|1.166E+00|8.270E+03|1.166E+00|9.810E+03|1.166E+00|9.538E+03
1.E+5|1.359E+00|6.950E+03|1.359E+00|8.296E+03|1.359E+00|8.019E+03
1.E+5|1.585E+00|5.573E+03|1.585E+00|6.871E+03|1.585E+00|6.490E+03
1.E+5|1.848E+00|4.447E+03|1.848E+00|5.745E+03|1.848E+00|5.240E+03
1.E+5|2.154E+00|3.512E+03|2.154E+00|4.789E+03|2.154E+00|4.193E+03
1.E+5|2.512E+00|2.714E+03|2.512E+00|3.946E+03|2.512E+00|3.283E+03
1.E+5|2.712E+00|2.402E+03|2.712E+00|3.588E+03|2.712E+00|2.904E+03
1.E+5|2.818E+00|2.260E+03|2.818E+00|7.426E+03|2.818E+00|3.155E+03
1.E+5|2.929E+00|2.129E+03|2.929E+00|3.244E+04|2.929E+00|5.753E+03
1.E+5|3.043E+00|2.007E+03|3.043E+00|3.483E+04|3.043E+00|5.390E+03
1.E+5|3.162E+00|1.892E+03|3.162E+00|1.779E+04|3.162E+00|3.672E+03
1.E+5|3.286E+00|1.778E+03|3.286E+00|5.696E+03|3.286E+00|2.488E+03
1.E+5|3.414E+00|1.667E+03|3.414E+00|3.447E+03|3.414E+00|2.165E+03
1.E+5|3.548E+00|1.559E+03|3.548E+00|2.878E+03|3.548E+00|1.993E+03
1.E+5|3.687E+00|1.488E+03|3.687E+00|2.107E+03|3.687E+00|1.842E+03
1.E+5|3.831E+00|1.420E+03|3.831E+00|2.058E+03|3.831E+00|1.763E+03
1.E+5|3.981E+00|1.356E+03|3.981E+00|1.939E+03|3.981E+00|1.682E+03
1.E+5|4.299E+00|1.227E+03|4.299E+00|1.968E+03|4.299E+00|1.545E+03
1.E+5|4.642E+00|1.112E+03|4.642E+00|2.091E+03|4.642E+00|1.433E+03
1.E+5|5.012E+00|1.012E+03|5.012E+00|1.426E+03|5.012E+00|1.259E+03
1.E+5|5.412E+00|9.256E+02|5.412E+00|1.292E+03|5.412E+00|1.149E+03
1.E+5|5.843E+00|8.698E+02|5.843E+00|2.756E+03|5.843E+00|1.229E+03
1.E+5|6.310E+00|8.422E+02|6.310E+00|2.454E+03|6.310E+00|1.172E+03
1.E+5|6.813E+00|8.138E+02|6.813E+00|2.277E+03|6.813E+00|1.124E+03
1.E+5|7.356E+00|7.855E+02|7.356E+00|1.479E+03|7.356E+00|1.013E+03
1.E+5|7.943E+00|7.734E+02|7.943E+00|1.158E+03|7.943E+00|9.600E+02
1.E+5|8.577E+00|8.628E+02|8.577E+00|1.071E+03|8.577E+00|1.015E+03
1.E+5|8.912E+00|1.156E+03|8.912E+00|1.696E+03|8.912E+00|1.332E+03
1.E+5|9.261E+00|1.492E+03|9.261E+00|1.664E+03|9.261E+00|1.618E+03
1.E+5|9.623E+00|1.887E+03|9.623E+00|2.742E+03|9.623E+00|2.084E+03
1.E+5|9.810E+00|2.065E+03|9.810E+00|5.380E+03|9.810E+00|2.527E+03
1.E+5|1.000E+01|2.195E+03|1.000E+01|3.071E+03|1.000E+01|2.416E+03
1.E+5|1.039E+01|2.063E+03|1.039E+01|3.436E+03|1.039E+01|2.348E+03
1.E+5|1.080E+01|1.781E+03|1.080E+01|5.039E+03|1.080E+01|2.284E+03
1.E+5|1.122E+01|1.577E+03|1.122E+01|6.964E+03|1.122E+01|2.330E+03
1.E+5|1.166E+01|1.331E+03|1.166E+01|8.372E+03|1.166E+01|2.250E+03
1.E+5|1.259E+01|8.572E+02|1.259E+01|8.593E+03|1.259E+01|1.741E+03
1.E+5|1.359E+01|7.157E+02|1.359E+01|7.219E+03|1.359E+01|1.422E+03
1.E+5|1.468E+01|6.673E+02|1.468E+01|5.466E+03|1.468E+01|1.196E+03
1.E+5|1.585E+01|7.810E+02|1.585E+01|4.343E+03|1.585E+01|1.190E+03
1.E+5|1.711E+01|1.023E+03|1.711E+01|3.812E+03|1.711E+01|1.361E+03
1.E+5|1.848E+01|1.072E+03|1.848E+01|3.457E+03|1.848E+01|1.395E+03
1.E+5|1.995E+01|8.633E+02|1.995E+01|2.779E+03|1.995E+01|1.148E+03
1.E+5|2.155E+01|6.942E+02|2.155E+01|2.098E+03|2.155E+01|9.234E+02
1.E+5|2.512E+01|4.920E+02|2.512E+01|1.153E+03|2.512E+01|6.356E+02
1.E+5|2.929E+01|3.660E+02|2.929E+01|5.452E+02|2.929E+01|4.497E+02
1.E+5|3.415E+01|2.732E+02|3.415E+01|7.917E+02|3.415E+01|3.744E+02
1.E+5|3.687E+01|2.368E+02|3.687E+01|1.030E+03|3.687E+01|3.605E+02
1.E+5|3.981E+01|2.067E+02|3.981E+01|1.293E+03|3.981E+01|3.548E+02
1.E+5|4.299E+01|1.801E+02|4.299E+01|1.545E+03|4.299E+01|3.494E+02
1.E+5|4.642E+01|1.550E+02|4.642E+01|1.545E+03|4.642E+01|3.181E+02
1.E+5|5.412E+01|1.129E+02|5.412E+01|1.090E+03|5.412E+01|2.266E+02
1.E+5|6.310E+01|8.972E+01|6.310E+01|7.425E+02|6.310E+01|1.699E+02
1.E+5|7.357E+01|7.074E+01|7.357E+01|4.857E+02|7.357E+01|1.264E+02
1.E+5|8.577E+01|5.579E+01|8.577E+01|3.041E+02|8.577E+01|9.412E+01
1.E+5|1.000E+02|4.459E+01|1.000E+02|1.536E+02|1.000E+02|6.855E+01
1.E+5|1.166E+02|3.565E+01|1.166E+02|1.019E+02|1.166E+02|5.340E+01
1.E+5|1.359E+02|2.804E+01|1.359E+02|7.128E+01|1.359E+02|4.137E+01
1.E+5|1.585E+02|2.218E+01|1.585E+02|5.022E+01|1.585E+02|3.204E+01
1.E+5|1.848E+02|1.708E+01|1.848E+02|3.465E+01|1.848E+02|2.396E+01
1.E+5|2.260E+02|1.255E+01|2.260E+02|2.266E+01|2.260E+02|1.691E+01
1.E+5|3.500E+02|6.501E+00|3.500E+02|1.012E+01|3.500E+02|7.836E+00
1.E+5|5.000E+02|3.886E+00|5.000E+02|4.958E+00|5.000E+02|3.920E+00
1.E+5|7.000E+02|2.206E+00|7.000E+02|2.533E+00|7.000E+02|2.003E+00
1.E+5|1.000E+03|1.272E+00|1.000E+03|1.332E+00|1.000E+03|1.065E+00
1.E+5|1.300E+03|8.961E-01|1.300E+03|8.641E-01|1.300E+03|7.006E-01
1.E+6|1.000E+00|1.179E+04|1.000E+00|1.041E+04|1.000E+00|1.309E+04
1.E+6|1.166E+00|1.033E+04|1.166E+00|8.915E+03|1.166E+00|1.144E+04
1.E+6|1.359E+00|8.779E+03|1.359E+00|7.704E+03|1.359E+00|9.799E+03
1.E+6|1.585E+00|7.037E+03|1.585E+00|6.541E+03|1.585E+00|8.010E+03
1.E+6|1.848E+00|5.542E+03|1.848E+00|5.595E+03|1.848E+00|6.438E+03
1.E+6|2.154E+00|4.301E+03|2.154E+00|4.756E+03|2.154E+00|5.080E+03
1.E+6|2.512E+00|3.266E+03|2.512E+00|3.968E+03|2.512E+00|3.897E+03
1.E+6|2.712E+00|2.865E+03|2.712E+00|3.598E+03|2.712E+00|3.393E+03
1.E+6|2.818E+00|2.684E+03|2.818E+00|7.410E+03|2.818E+00|3.607E+03
1.E+6|2.929E+00|2.518E+03|2.929E+00|3.138E+04|2.929E+00|6.563E+03
1.E+6|3.043E+00|2.365E+03|3.043E+00|3.506E+04|3.043E+00|6.240E+03
1.E+6|3.162E+00|2.222E+03|3.162E+00|1.943E+04|3.162E+00|4.338E+03
1.E+6|3.286E+00|2.082E+03|3.286E+00|6.221E+03|3.286E+00|2.941E+03
1.E+6|3.414E+00|1.946E+03|3.414E+00|3.694E+03|3.414E+00|2.538E+03
1.E+6|3.548E+00|1.814E+03|3.548E+00|3.067E+03|3.548E+00|2.323E+03
1.E+6|3.687E+00|1.724E+03|3.687E+00|2.224E+03|3.687E+00|2.134E+03
1.E+6|3.831E+00|1.642E+03|3.831E+00|2.169E+03|3.831E+00|2.033E+03
1.E+6|3.981E+00|1.563E+03|3.981E+00|2.043E+03|3.981E+00|1.932E+03
1.E+6|4.299E+00|1.409E+03|4.299E+00|2.073E+03|4.299E+00|1.762E+03
1.E+6|4.642E+00|1.272E+03|4.642E+00|2.205E+03|4.642E+00|1.625E+03
1.E+6|5.012E+00|1.152E+03|5.012E+00|1.497E+03|5.012E+00|1.421E+03
1.E+6|5.412E+00|1.050E+03|5.412E+00|1.353E+03|5.412E+00|1.289E+03
1.E+6|5.843E+00|9.824E+02|5.843E+00|2.876E+03|5.843E+00|1.367E+03
1.E+6|6.310E+00|9.481E+02|6.310E+00|2.579E+03|6.310E+00|1.304E+03
1.E+6|6.813E+00|9.138E+02|6.813E+00|2.386E+03|6.813E+00|1.246E+03
1.E+6|7.356E+00|8.795E+02|7.356E+00|1.548E+03|7.356E+00|1.122E+03
1.E+6|7.943E+00|8.617E+02|7.943E+00|1.206E+03|7.943E+00|1.057E+03
1.E+6|8.577E+00|9.473E+02|8.577E+00|1.107E+03|8.577E+00|1.103E+03
1.E+6|8.912E+00|1.250E+03|8.912E+00|1.744E+03|8.912E+00|1.432E+03
1.E+6|9.261E+00|1.595E+03|9.261E+00|1.696E+03|9.261E+00|1.723E+03
1.E+6|9.623E+00|2.011E+03|9.623E+00|2.773E+03|9.623E+00|2.202E+03
1.E+6|9.810E+00|2.200E+03|9.810E+00|5.478E+03|9.810E+00|2.678E+03
1.E+6|1.000E+01|2.354E+03|1.000E+01|3.138E+03|1.000E+01|2.579E+03
1.E+6|1.039E+01|2.258E+03|1.039E+01|3.479E+03|1.039E+01|2.522E+03
